DEPT,ECGR,ATRX,ATRT,NPHI,CAL1,HDAR,HROM,DTSM,DTCO
699,-999.25,0.5815,0.6905,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
699.5,-999.25,0.58,0.6995,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
700,-999.25,0.6,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
700.5,-999.25,0.5901,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
701,-999.25,0.6198,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
701.5,-999.25,0.61,0.71,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
702,-999.25,0.61,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
702.5,-999.25,0.61,0.71,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
703,-999.25,0.63,0.73,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
703.5,-999.25,0.76,0.77,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
704,-999.25,1.0104,0.8002,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
704.5,-999.25,1.05,0.81,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
705,-999.25,1.05,0.82,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
705.5,-999.25,0.6503,0.7595,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
706,-999.25,0.64,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
706.5,-999.25,0.63,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
707,-999.25,0.63,0.73,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
707.5,-999.25,0.64,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
708,-999.25,0.62,0.7397,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
708.5,-999.25,0.62,0.73,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
709,-999.25,0.67,0.77,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
709.5,-999.25,0.6899,0.7999,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
710,-999.25,0.7201,0.8301,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
