DEPT,ECGR,ATRT,DTCO,DTSM,RHOB,NPHI
672.5,47.2163,0.7443,-999.25,-999.25,-999.25,-999.25
673,43.4546,0.7525,-999.25,-999.25,-999.25,-999.25
673.5,34.7637,0.7763,-999.25,-999.25,-999.25,-999.25
674,29.3697,0.8611,-999.25,-999.25,-999.25,-999.25
674.5,36.45,0.8264,-999.25,-999.25,-999.25,-999.25
675,42.4169,0.7054,-999.25,-999.25,-999.25,-999.25
675.5,48.7729,0.7107,-999.25,-999.25,-999.25,-999.25
676,47.0866,0.8165,-999.25,-999.25,-999.25,-999.25
676.5,40.2982,0.8675,-999.25,-999.25,-999.25,-999.25
677,37.4745,0.8556,-999.25,-999.25,-999.25,-999.25
677.5,31.1316,0.8111,-999.25,-999.25,-999.25,-999.25
678,33.5097,0.8284,-999.25,-999.25,-999.25,-999.25
678.5,43.1951,0.8578,-999.25,-999.25,-999.25,-999.25
679,48.9459,0.9137,-999.25,-999.25,-999.25,-999.25
679.5,47.2163,0.9748,-999.25,-999.25,-999.25,-999.25
680,47.2595,1.0299,-999.25,-999.25,-999.25,-999.25
680.5,47.9081,1.0076,-999.25,-999.25,-999.25,-999.25
681,42.7195,0.9747,-999.25,-999.25,-999.25,-999.25
681.5,44.1031,0.9259,-999.25,-999.25,-999.25,-999.25
682,45.7894,1.024,-999.25,-999.25,-999.25,-999.25
682.5,40.6873,0.9674,-999.25,-999.25,-999.25,-999.25
683,37.4012,0.7536,-999.25,-999.25,-999.25,-999.25
683.5,33.38,0.7812,-999.25,-999.25,-999.25,-999.25
684,31.1749,0.7383,-999.25,-999.25,-999.25,-999.25
684.5,33.5097,0.7425,-999.25,-999.25,-999.25,-999.25
685,33.8989,0.6988,-999.25,-999.25,-999.25,-999.25
685.5,33.7692,0.7082,-999.25,-999.25,-999.25,-999.25
686,33.6827,0.7559,-999.25,-999.25,-999.25,-999.25
686.5,34.5907,0.7453,-999.25,-999.25,-999.25,-999.25
687,32.1261,0.6714,-999.25,-999.25,-999.25,-999.25
687.5,35.6284,0.7521,-999.25,-999.25,-999.25,-999.25
688,39.0875,0.7521,-999.25,-999.25,-999.25,-999.25
688.5,38.0498,0.7304,-999.25,-999.25,-999.25,-999.25
689,36.8391,0.7304,-999.25,-999.25,-999.25,-999.25
689.5,39.4334,0.8139,-999.25,-999.25,-999.25,-999.25
690,40.4279,0.9496,-999.25,-999.25,-999.25,-999.25
690.5,41.2494,0.934,-999.25,-999.25,-999.25,-999.25
691,42.5466,0.934,-999.25,-999.25,-999.25,-999.25
691.5,47.2163,0.9264,-999.25,-999.25,-999.25,-999.25
692,43.6275,0.7817,-999.25,-999.25,-999.25,-999.25
692.5,38.0498,0.7817,-999.25,-999.25,-999.25,-999.25
693,32.645,0.7942,-999.25,-999.25,-999.25,-999.25
693.5,30.4398,0.7578,-999.25,-999.25,-999.25,-999.25
694,28.4941,0.8082,-999.25,-999.25,-999.25,-999.25
694.5,31.2614,0.7918,-999.25,-999.25,-999.25,-999.25
695,37.1418,0.7773,-999.25,-999.25,-999.25,-999.25
695.5,37.1418,0.7749,-999.25,-999.25,-999.25,-999.25
696,36.8391,0.7914,-999.25,-999.25,-999.25,-999.25
696.5,37.358,0.7459,-999.25,-999.25,-999.25,-999.25
697,33.8557,0.7424,-999.25,-999.25,-999.25,-999.25
697.5,29.921,0.7826,-999.25,-999.25,-999.25,-999.25
698,29.2292,0.7707,-999.25,-999.25,-999.25,-999.25
698.5,33.38,0.7374,-999.25,-999.25,-999.25,-999.25
699,36.5905,0.8764,-999.25,-999.25,-999.25,-999.25
699.5,33.9594,0.9444,-999.25,-999.25,-999.25,-999.25
700,38.6119,0.992,-999.25,-999.25,-999.25,-999.25
700.5,40.2549,1.0052,-999.25,-999.25,-999.25,-999.25
701,40.363,1.0011,-999.25,-999.25,-999.25,-999.25
